Distance(m),V(x)(mV)
-4.464882943143813065e+01,-2.999466073881969841e+00
-4.364548494983277749e+01,-2.957517374381353648e+00
-4.264214046822742432e+01,-2.912480650433719287e+00
-4.163879598662207115e+01,-2.864163832397008669e+00
-4.063545150501671799e+01,-2.812363972565961934e+00
-3.963210702341136482e+01,-2.756866933421344257e+00
-3.862876254180602587e+01,-2.697447139873849320e+00
-3.762541806020067270e+01,-2.633867414856729816e+00
-3.662207357859531953e+01,-2.565878921098920351e+00
-3.561872909698996637e+01,-2.493221235798657176e+00
-3.461538461538461320e+01,-2.415622589209784454e+00
-3.361204013377926003e+01,-2.332800302818261340e+00
-3.260869565217390686e+01,-2.244461467761885931e+00
-3.160535117056856791e+01,-2.150303909325150364e+00
-3.060200668896321474e+01,-2.050017488560339274e+00
-2.959866220735786158e+01,-1.943285797110592572e+00
-2.859531772575250841e+01,-1.829788305818016658e+00
-2.759197324414715524e+01,-1.709203031261919969e+00
-2.658862876254180208e+01,-1.581209786439052856e+00
-2.558528428093644891e+01,-1.445494081684497445e+00
-2.458193979933110995e+01,-1.301751738811668835e+00
-2.357859531772575679e+01,-1.149694274357802692e+00
-2.257525083612040362e+01,-9.890550956752968137e-01
-2.157190635451505045e+01,-8.195965352543670424e-01
-2.056856187290969729e+01,-6.411177229474768202e-01
-1.956521739130434412e+01,-4.534632616572006336e-01
-1.856187290969899095e+01,-2.565326287912509939e-01
-1.755852842809363779e+01,-5.029017310909775912e-02
-1.655518394648828462e+01,1.652244850570563639e-01
-1.555183946488293145e+01,3.898859113655698261e-01
-1.454849498327757829e+01,6.234725078771889972e-01
-1.354515050167225354e+01,8.656567658211473670e-01
-1.254180602006690037e+01,1.115996599368767050e+00
-1.153846153846154721e+01,1.373928295564343705e+00
-1.053511705685619404e+01,1.638761650859925423e+00
-9.531772575250840873e+00,1.909677869706664533e+00
-8.528428093645487706e+00,2.185730766733382513e+00
-7.525083612040134540e+00,2.465851734298308617e+00
-6.521739130434781373e+00,2.748858807953620698e+00
-5.518394648829428206e+00,3.033469984585373425e+00
-4.515050167224075039e+00,3.318320728420382615e+00
-3.511705685618721873e+00,3.601985351706448402e+00
-2.508361204013368706e+00,3.883001698459932260e+00
-1.505016722408015539e+00,4.159898314325413793e+00
-5.016722408026623725e-01,4.431223078179232999e+00
5.016722408026623725e-01,4.695572125039609190e+00
1.505016722408015539e+00,4.951617823599836932e+00
2.508361204013368706e+00,5.198134595793027835e+00
3.511705685618721873e+00,5.434021480806087823e+00
4.515050167224075039e+00,5.658320542070758741e+00
5.518394648829428206e+00,5.870230473977698260e+00
6.521739130434781373e+00,6.069115059894341968e+00
7.525083612040134540e+00,6.254506436164539274e+00
8.528428093645487706e+00,6.426103400791729925e+00
9.531772575250840873e+00,6.583765247564077328e+00
1.053511705685619404e+01,6.727501790427173667e+00
1.153846153846154721e+01,6.857460360865054838e+00
1.254180602006690037e+01,6.973910612598019476e+00
1.354515050167225354e+01,7.077227959255871781e+00
1.454849498327757829e+01,7.167876412674670128e+00
1.555183946488293145e+01,7.246391495432331631e+00
1.655518394648828462e+01,7.313363785044620258e+00
1.755852842809363779e+01,7.369423521691576440e+00
1.856187290969899095e+01,7.415226587121878765e+00
1.956521739130434412e+01,7.451442047527584656e+00
2.056856187290969729e+01,7.478741352999474401e+00
2.157190635451505045e+01,7.497789203478792963e+00
2.257525083612040362e+01,7.509236026677879039e+00
2.357859531772575679e+01,7.513711966481172233e+00
2.458193979933110995e+01,7.511822249071814284e+00
2.558528428093646312e+01,7.504143776102050190e+00
2.658862876254181629e+01,7.491222787073603229e+00
2.759197324414716945e+01,7.473573434205520449e+00
2.859531772575249420e+01,7.451677120152484513e+00
2.959866220735784736e+01,7.425982460024979304e+00
3.060200668896320053e+01,7.396905742634935166e+00
3.160535117056855370e+01,7.364831780478474421e+00
3.260869565217390686e+01,7.330115052721327018e+00
3.361204013377926003e+01,7.293081059699852986e+00
3.461538461538461320e+01,7.254027820746649091e+00
3.561872909698996637e+01,7.213227459229718974e+00
3.662207357859531953e+01,7.170927829431359868e+00
3.762541806020067270e+01,7.127354149259127247e+00
3.862876254180602587e+01,7.082710610818497621e+00
3.963210702341137903e+01,7.037181947670713811e+00
4.063545150501673220e+01,6.990934943261985168e+00
4.163879598662208537e+01,6.944119869665930977e+00
4.264214046822741011e+01,6.896871849556330147e+00
4.364548494983276328e+01,6.849312137344676366e+00
4.464882943143811644e+01,6.801549317790938964e+00
4.565217391304346961e+01,6.753680422230195823e+00
4.665551839464882278e+01,6.705791963944765399e+00
4.765886287625417594e+01,6.657960895231808784e+00
4.866220735785952911e+01,6.610255489439407661e+00
4.966555183946488228e+01,6.562736151729113843e+00
5.066889632107023544e+01,6.515456162619385871e+00
5.167224080267558861e+01,6.468462358513606070e+00
5.267558528428094178e+01,6.421795753452485656e+00
5.367892976588629494e+01,6.375492106281606119e+00
5.468227424749164811e+01,6.329582437312884835e+00
5.568561872909700128e+01,6.284093498402214095e+00
5.668896321070235444e+01,6.239048200178555881e+00
5.769230769230767919e+01,6.194465999953717272e+00
5.869565217391303236e+01,6.150363253625651616e+00
5.969899665551838552e+01,6.106753534668028394e+00
6.070234113712373869e+01,6.063647923080063507e+00
6.170568561872909186e+01,6.021055266956967245e+00
6.270903010033444502e+01,5.978982419135288495e+00
6.371237458193979819e+01,5.937434451170931382e+00
6.471571906354515136e+01,5.896414846721693692e+00
6.571906354515050452e+01,5.855925676231526822e+00
6.672240802675585769e+01,5.815967754650622545e+00
6.772575250836121086e+01,5.776540783773747911e+00
6.872909698996656402e+01,5.737643480639039950e+00
6.973244147157191719e+01,5.699273693299854671e+00
7.073578595317727036e+01,5.661428505163298652e+00
7.173913043478259510e+01,5.624104328979812273e+00
7.274247491638794827e+01,5.587296991468149621e+00
7.374581939799330144e+01,5.551001809468802506e+00
7.474916387959865460e+01,5.515213658435499156e+00
7.575250836120400777e+01,5.479927033998579056e+00
7.675585284280936094e+01,5.445136107264958447e+00
7.775919732441471410e+01,5.410834774456571239e+00
7.876254180602006727e+01,5.377016701432296486e+00
7.976588628762542044e+01,5.343675363586560145e+00
8.076923076923077360e+01,5.310804081570969615e+00
8.177257525083612677e+01,5.278396053242841113e+00
8.277591973244147994e+01,5.246444382205959656e+00
8.377926421404683310e+01,5.214942103274093022e+00
8.478260869565218627e+01,5.183882205156216116e+00
8.578595317725751102e+01,5.153257650633864984e+00
8.678929765886286418e+01,5.123061394475193708e+00
8.779264214046821735e+01,5.093286399306971468e+00
8.879598662207357052e+01,5.063925649644581917e+00
8.979933110367892368e+01,5.034972164261029448e+00
9.080267558528427685e+01,5.006419007058608983e+00
9.180602006688963002e+01,4.978259296591324379e+00
9.280936454849498318e+01,4.950486214371940363e+00
9.381270903010033635e+01,4.923093012084827080e+00
9.481605351170568952e+01,4.896073017814136286e+00
9.581939799331104268e+01,4.869419641386450337e+00
9.682274247491639585e+01,4.843126378917498087e+00
9.782608695652174902e+01,4.817186816644068337e+00
9.882943143812710218e+01,4.791594634114429319e+00
9.983277591973242693e+01,4.766343606803589594e+00
1.008361204013377801e+02,4.741427608213403033e+00
1.018394648829431333e+02,4.716840611511755377e+00
1.028428093645484864e+02,4.692576690759878488e+00
